SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,7123,7123,0,0,0,0,0,0,0,NA,NA
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,NA,NA
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,NA,NA
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,32,0,32,0,0,0,0,0,0,NA,NA
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,119,118,1,0,0,0,0,0,0,NA,NA
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,231,63,164,4,0,0,0,0,0,NA,NA
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,272,70,198,4,0,0,0,0,0,NA,NA
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,250,184,64,2,0,0,0,0,0,NA,NA
7,AP,Andhra Pradesh,AP_Guntur,Guntur,527,129,390,8,0,0,0,0,0,NA,NA
8,AP,Andhra Pradesh,AP_Krishna,Krishna,486,130,337,19,0,0,0,0,0,NA,NA
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,740,137,577,26,0,0,0,0,0,NA,NA
0,AP,Andhra Pradesh,AP_Other State,Other State,573,362,211,0,0,0,0,0,0,NA,NA
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,81,14,67,0,0,0,0,0,0,NA,NA
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,261,78,179,4,0,0,0,0,0,NA,NA
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,29,18,11,0,0,0,0,0,0,NA,NA
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,107,33,73,1,0,0,0,0,0,NA,NA
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,26,13,13,0,0,0,0,0,0,NA,NA
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,135,78,57,0,0,0,0,0,0,NA,NA
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,134,20,114,0,0,0,0,0,0,NA,NA
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,0,0,0,0,0,0,0,0,0,NA,NA
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,25,25,0,0,0,0,0,0,0,NA,NA
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,0,NA,NA
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,0,0,0,0,0,0,0,0,0,NA,NA
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,0,NA,NA
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,0,NA,NA
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,0,NA,NA
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,0,0,0,0,0,0,0,0,0,NA,NA
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,1,0,1,0,0,0,0,0,0,NA,NA
26,AR,Arunachal Pradesh,AR_Longding,Longding,0,0,0,0,0,0,0,0,0,NA,NA
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,0,0,0,0,0,0,0,0,0,NA,NA
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,0,0,0,0,0,0,0,0,0,NA,NA
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,0,0,0,0,0,0,0,0,0,NA,NA
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,1,1,0,0,0,0,0,0,0,NA,NA
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,1,1,0,0,0,0,0,0,0,NA,NA
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,7,7,0,0,0,0,0,0,0,NA,NA
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,0,0,0,0,0,0,0,0,0,NA,NA
34,AR,Arunachal Pradesh,AR_Siang,Siang,0,0,0,0,0,0,0,0,0,NA,NA
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,1,1,0,0,0,0,0,0,0,NA,NA
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,0,0,0,0,0,0,0,0,0,NA,NA
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,0,0,0,0,0,0,0,0,0,NA,NA
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,1,1,0,0,0,0,0,0,0,NA,NA
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,0,0,0,0,0,0,0,0,0,NA,NA
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,0,0,0,0,0,0,0,0,0,NA,NA
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,0,0,0,0,0,0,0,0,0,NA,NA
42,AS,Assam,AS_Baksa,Baksa,7,7,0,0,0,0,0,0,0,NA,NA
43,AS,Assam,AS_Barpeta,Barpeta,43,21,22,0,0,0,0,0,0,NA,NA
44,AS,Assam,AS_Biswanath,Biswanath,40,40,0,0,0,0,0,0,0,NA,NA
45,AS,Assam,AS_Bongaigaon,Bongaigaon,6,1,5,0,0,0,0,0,0,NA,NA
46,AS,Assam,AS_Cachar,Cachar,73,11,62,0,0,0,0,0,0,NA,NA
47,AS,Assam,AS_Charaideo,Charaideo,14,14,0,0,0,0,0,0,0,NA,NA
48,AS,Assam,AS_Chirang,Chirang,32,32,0,0,0,0,0,0,0,NA,NA
49,AS,Assam,AS_Darrang,Darrang,26,26,0,0,0,0,0,0,0,NA,NA
50,AS,Assam,AS_Dhemaji,Dhemaji,18,17,1,0,0,0,0,0,0,NA,NA
51,AS,Assam,AS_Dhubri,Dhubri,162,157,5,0,0,0,0,0,0,NA,NA
52,AS,Assam,AS_Dibrugarh,Dibrugarh,42,41,1,0,0,0,0,0,0,NA,NA
53,AS,Assam,AS_Dima Hasao,Dima Hasao,38,31,7,0,0,0,0,0,0,NA,NA
54,AS,Assam,AS_Goalpara,Goalpara,39,35,4,0,0,0,0,0,0,NA,NA
55,AS,Assam,AS_Golaghat,Golaghat,207,181,26,0,0,0,0,0,0,NA,NA
56,AS,Assam,AS_Hailakandi,Hailakandi,36,35,0,1,0,0,0,0,0,NA,NA
57,AS,Assam,AS_Hojai,Hojai,79,79,0,0,0,0,0,0,0,NA,NA
58,AS,Assam,AS_Jorhat,Jorhat,23,2,21,0,0,0,0,0,0,NA,NA
59,AS,Assam,AS_Kamrup,Kamrup,96,90,6,0,0,0,0,0,0,NA,NA
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,393,170,220,3,0,0,0,0,0,NA,NA
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,8,7,1,0,0,0,0,0,0,NA,NA
62,AS,Assam,AS_Karimganj,Karimganj,67,65,2,0,0,0,0,0,0,NA,NA
63,AS,Assam,AS_Kokrajhar,Kokrajhar,57,57,0,0,0,0,0,0,0,NA,NA
64,AS,Assam,AS_Lakhimpur,Lakhimpur,51,45,6,0,0,0,0,0,0,NA,NA
65,AS,Assam,AS_Majuli,Majuli,0,0,0,0,0,0,0,0,0,NA,NA
66,AS,Assam,AS_Morigaon,Morigaon,43,37,6,0,0,0,0,0,0,NA,NA
67,AS,Assam,AS_Nagaon,Nagaon,72,72,0,0,0,0,0,0,0,NA,NA
68,AS,Assam,AS_Nalbari,Nalbari,21,17,4,0,0,0,0,0,0,NA,NA
0,AS,Assam,AS_Other State,Other State,1,0,1,0,0,0,0,0,0,NA,NA
69,AS,Assam,AS_Sivasagar,Sivasagar,26,26,0,0,0,0,0,0,0,NA,NA
