SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,"",""
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,"",""
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,32,0,32,0,0,0,0,0,"",""
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,118,62,52,4,0,-3,3,0,"",""
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,151,74,77,0,9,6,3,0,"",""
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,51,16,35,0,0,0,0,0,"",""
7,AP,Andhra Pradesh,AP_Guntur,Guntur,404,150,246,8,5,-16,21,0,"",""
8,AP,Andhra Pradesh,AP_Krishna,Krishna,351,134,203,14,2,1,1,0,"",""
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,591,257,316,18,0,-20,19,1,"",""
0,AP,Andhra Pradesh,AP_Other State,Other State,105,105,0,0,32,32,0,0,"",""
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,63,3,60,0,0,0,0,0,"",""
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,126,45,78,3,15,14,1,0,"",""
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,7,3,4,0,2,2,0,0,"",""
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,66,40,25,1,0,0,0,0,"",""
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,4,4,0,0,0,0,0,0,"",""
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,69,29,40,0,1,-1,2,0,"",""
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,99,43,56,0,2,2,0,0,"",""
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,0,0,0,0,0,0,0,0,"",""
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,0,0,0,0,0,0,0,0,"",""
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,"",""
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,0,0,0,0,0,0,0,0,"",""
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,"",""
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,"",""
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,"",""
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,0,0,0,0,0,0,0,0,"",""
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,1,0,1,0,0,0,0,0,"",""
26,AR,Arunachal Pradesh,AR_Longding,Longding,0,0,0,0,0,0,0,0,"",""
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,0,0,0,0,0,0,0,0,"",""
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,0,0,0,0,0,0,0,0,"",""
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,0,0,0,0,0,0,0,0,"",""
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,0,0,0,0,0,0,0,0,"",""
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,0,0,0,0,0,0,0,0,"",""
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,0,0,0,0,0,0,0,0,"",""
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,0,0,0,0,0,0,0,0,"",""
34,AR,Arunachal Pradesh,AR_Siang,Siang,0,0,0,0,0,0,0,0,"",""
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,0,0,0,0,0,0,0,0,"",""
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,0,0,0,0,0,0,0,0,"",""
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,0,0,0,0,0,0,0,0,"",""
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,0,0,0,0,0,0,0,0,"",""
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,0,0,0,0,0,0,0,0,"",""
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,0,0,0,0,0,0,0,0,"",""
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,0,0,0,0,0,0,0,0,"",""
42,AS,Assam,AS_Baksa,Baksa,0,0,0,0,0,0,0,0,"",""
43,AS,Assam,AS_Barpeta,Barpeta,0,0,0,0,0,0,0,0,"",""
44,AS,Assam,AS_Biswanath,Biswanath,0,0,0,0,0,0,0,0,"",""
45,AS,Assam,AS_Bongaigaon,Bongaigaon,5,0,5,0,0,0,0,0,"",""
46,AS,Assam,AS_Cachar,Cachar,11,10,1,0,0,0,0,0,"",""
47,AS,Assam,AS_Charaideo,Charaideo,0,0,0,0,0,0,0,0,"",""
48,AS,Assam,AS_Chirang,Chirang,0,0,0,0,0,0,0,0,"",""
49,AS,Assam,AS_Darrang,Darrang,0,0,0,0,0,0,0,0,"",""
50,AS,Assam,AS_Dhemaji,Dhemaji,0,0,0,0,0,0,0,0,"",""
51,AS,Assam,AS_Dhubri,Dhubri,5,0,5,0,0,0,0,0,"",""
52,AS,Assam,AS_Dibrugarh,Dibrugarh,0,0,0,0,0,0,0,0,"",""
53,AS,Assam,AS_Dima Hasao,Dima Hasao,0,0,0,0,0,0,0,0,"",""
54,AS,Assam,AS_Goalpara,Goalpara,6,2,4,0,0,0,0,0,"",""
55,AS,Assam,AS_Golaghat,Golaghat,9,0,9,0,0,0,0,0,"",""
56,AS,Assam,AS_Hailakandi,Hailakandi,1,0,0,1,0,0,0,0,"",""
57,AS,Assam,AS_Hojai,Hojai,0,0,0,0,0,0,0,0,"",""
58,AS,Assam,AS_Jorhat,Jorhat,3,3,0,0,0,0,0,0,"",""
59,AS,Assam,AS_Kamrup,Kamrup,2,1,1,0,0,0,0,0,"",""
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,29,27,1,1,8,8,0,0,"",""
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,0,0,0,0,0,0,0,0,"",""
62,AS,Assam,AS_Karimganj,Karimganj,2,1,1,0,0,0,0,0,"",""
63,AS,Assam,AS_Kokrajhar,Kokrajhar,1,1,0,0,0,0,0,0,"",""
64,AS,Assam,AS_Lakhimpur,Lakhimpur,1,0,1,0,0,0,0,0,"",""
65,AS,Assam,AS_Majuli,Majuli,0,0,0,0,0,0,0,0,"",""
66,AS,Assam,AS_Morigaon,Morigaon,6,0,6,0,-1,-1,0,0,"",""
67,AS,Assam,AS_Nagaon,Nagaon,0,0,0,0,0,0,0,0,"",""
68,AS,Assam,AS_Nalbari,Nalbari,4,0,4,0,0,0,0,0,"",""
0,AS,Assam,AS_Other State,Other State,1,0,1,0,0,0,0,0,Case tranferred from Nagaland,""
69,AS,Assam,AS_Sivasagar,Sivasagar,0,0,0,0,0,0,0,0,"",""
70,AS,Assam,AS_Sonitpur,Sonitpur,0,0,0,0,0,0,0,0,"",""
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,1,0,1,0,0,0,0,0,"",""
72,AS,Assam,AS_Tinsukia,Tinsukia,0,0,0,0,0,0,0,0,"",""
73,AS,Assam,AS_Udalguri,Udalguri,0,0,0,0,0,0,0,0,"",""
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,0,0,0,0,0,0,0,0,"",""
75,BR,Bihar,BR_Araria,Araria,4,3,1,0,0,0,0,0,"",""
76,BR,Bihar,BR_Arwal,Arwal,12,8,4,0,0,0,0,0,"",""
77,BR,Bihar,BR_Aurangabad,Aurangabad,18,7,11,0,0,0,0,0,"",""
78,BR,Bihar,BR_Banka,Banka,15,15,0,0,4,4,0,0,"",""
79,BR,Bihar,BR_Begusarai,Begusarai,47,38,9,0,0,0,0,0,"",""
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,33,25,8,0,1,1,0,0,"",""
81,BR,Bihar,BR_Bhojpur,Bhojpur,29,11,18,0,1,1,0,0,"",""
82,BR,Bihar,BR_Buxar,Buxar,59,3,56,0,0,0,0,0,"",""
83,BR,Bihar,BR_Darbhanga,Darbhanga,16,13,3,0,0,0,0,0,"",""
101,BR,Bihar,BR_East Champaran,East Champaran,15,13,1,1,0,0,0,0,"",""
84,BR,Bihar,BR_Gaya,Gaya,8,2,6,0,0,0,0,0,"",""
85,BR,Bihar,BR_Gopalganj,Gopalganj,24,7,17,0,0,0,0,0,"",""
86,BR,Bihar,BR_Jamui,Jamui,1,1,0,0,0,0,0,0,"",""
87,BR,Bihar,BR_Jehanabad,Jehanabad,26,21,5,0,5,5,0,0,"",""
88,BR,Bihar,BR_Kaimur,Kaimur,33,6,27,0,0,0,0,0,"",""
89,BR,Bihar,BR_Katihar,Katihar,12,12,0,0,0,0,0,0,"",""
90,BR,Bihar,BR_Khagaria,Khagaria,36,36,0,0,6,6,0,0,"",""
91,BR,Bihar,BR_Kishanganj,Kishanganj,10,10,0,0,1,1,0,0,"",""
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,12,7,5,0,6,6,0,0,"",""
93,BR,Bihar,BR_Madhepura,Madhepura,9,7,2,0,0,0,0,0,"",""
94,BR,Bihar,BR_Madhubani,Madhubani,31,31,0,0,0,0,0,0,"",""
95,BR,Bihar,BR_Munger,Munger,122,56,65,1,0,0,0,0,"",""
