Update Time Stamp,Total Samples Tested,Total Individuals Tested,Total Positive Cases,Tests conducted by Private Labs,Sample Reported today,Positive cases from samples reported,Source,V9,Test positivity rate,Individuals Tested Per Confirmed Case,Tests Per Confirmed Case,Tests per million
06/05/2020 09:00:00,1276781,NA,,NA,,NA,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_06May2020_9AM_IST.pdf,NA,,NA,NA,958
07/05/2020 09:00:00,1357413,NA,,NA,,NA,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_07May2020_9AM_IST.pdf,NA,,NA,NA,1018
08/05/2020 09:00:00,1437788,NA,,NA,,NA,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_08May2020_9AM_IST.pdf,NA,,NA,NA,1079
09/05/2020 09:00:00,1523213,NA,,NA,,NA,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_09May2020_9AM_IST.pdf,NA,,NA,NA,1143
10/05/2020 09:00:00,1609037,NA,,NA,,NA,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_10May2020_9AM_IST.pdf,NA,,NA,NA,1207
11/05/2020 09:00:00,1673688,NA,,NA,,NA,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_11May2020_9AM_IST.pdf,NA,,NA,NA,1256
12/05/2020 09:00:00,1759579,NA,,NA,,NA,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_12May2020_9AM_IST.pdf,NA,,NA,NA,1320
13/05/2020 09:00:00,1854250,NA,,NA,,NA,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_13May2020_9AM_IST.pdf,NA,,NA,NA,1391
14/05/2020 09:00:00,1947041,NA,,NA,,NA,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_14May2020_9AM_IST.pdf,NA,,NA,NA,1461
15/05/2020 09:00:00,2039952,NA,,NA,,NA,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_15May2020_9AM_IST.pdf,NA,,NA,NA,1530
16/05/2020 09:00:00,2134277,NA,,NA,,NA,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_16May2020_9AM_IST.pdf,NA,,NA,NA,1601
17/05/2020 09:00:00,2227642,NA,,NA,,NA,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_17May2020_9AM_IST.pdf,NA,,NA,NA,1671
18/05/2020 09:00:00,2302792,NA,,NA,,NA,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_18May2020_9AM_IST.pdf,NA,,NA,NA,1728
19/05/2020 09:00:00,2404267,NA,,NA,,NA,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_19May2020_9AM_IST.pdf,NA,,NA,NA,1804
20/05/2020 09:00:00,2512388,NA,,NA,108121,NA,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_20May2020_9AM_IST.pdf,NA,,NA,NA,1885
21/05/2020 09:00:00,2615920,NA,,NA,103532,NA,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_21May2020_9AM_IST.pdf,NA,,NA,NA,1963
22/05/2020 09:00:00,2719434,NA,,NA,103514,NA,https://t.me/Covid19india_Auxiliary_Test_Data/99,NA,,NA,NA,2040
23/05/2020 09:00:00,2834798,NA,,NA,115364,NA,https://t.me/Covid19india_Auxiliary_Test_Data/110,NA,,NA,NA,2127
24/05/2020 09:00:00,2943421,NA,,NA,108623,NA,https://t.me/Covid19india_Auxiliary_Test_Data/129,NA,,NA,NA,2208
25/05/2020 09:00:00,3033591,NA,,NA,90170,NA,https://t.me/Covid19india_Auxiliary_Test_Data/146,NA,,NA,NA,2276
26/05/2020 09:00:00,3126119,NA,,NA,92528,NA,https://t.me/Covid19india_Auxiliary_Test_Data/160,NA,,NA,NA,2345
27/05/2020 09:00:00,3242160,NA,,NA,116041,NA,https://t.me/Covid19india_Auxiliary_Test_Data/177,NA,,NA,NA,2432
28/05/2020 09:00:00,3362136,NA,,NA,119976,NA,https://t.me/Covid19india_Auxiliary_Test_Data/194,NA,,NA,NA,2522
29/05/2020 09:00:00,3483838,NA,,NA,121702,NA,https://t.me/Covid19india_Auxiliary_Test_Data/211,NA,,NA,NA,2614
30/05/2020 09:00:00,3611599,NA,,NA,127761,NA,https://t.me/Covid19india_Auxiliary_Test_Data/228,NA,,NA,NA,2710
31/05/2020 09:00:00,3737027,NA,,NA,125428,NA,https://t.me/Covid19india_Auxiliary_Test_Data/236,NA,,NA,NA,2804
01/06/2020 09:00:00,3837207,NA,,NA,100180,NA,https://t.me/Covid19india_Auxiliary_Test_Data/253,NA,,NA,NA,2879
02/06/2020 09:00:00,3966075,NA,,NA,128868,NA,https://twitter.com/ICMRDELHI/status/1267665101781266433?s=20,NA,,NA,NA,2976
03/06/2020 09:00:00,4103233,NA,,NA,137158,NA,https://twitter.com/ICMRDELHI/status/1268030064467165184?s=19,NA,,NA,NA,NA
04/06/2020 09:00:00,4242718,NA,,NA,139485,NA,https://t.me/Covid19india_Auxiliary_Test_Data/294,NA,,NA,NA,NA
