State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,Migrated_Other,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,257236,123811,7206,126206,07/06/2020 23:02:46,13,TT,10614,5154,260,
Maharashtra,85975,39314,3060,43601,07/06/2020 19:53:47,0,MH,3007,1924,91,
Tamil Nadu,31687,16999,272,14416,07/06/2020 18:46:47,0,TN,1515,604,18,"2 deaths cross notified to other states from Chennai and Coimbatore.
1 patient died after turning negative for infection in Chengalpattu"
Delhi,28936,10999,812,17125,07/06/2020 22:14:47,0,DL,1282,335,51,"[10-May]
Delhi bulletins in the morning, containing data of the previous day. We will add that data to the date on which the report is released, rather than the previous day.
Also, backdated deaths reported are added to the day in which they are announced"
Gujarat,20097,13643,1249,5205,07/06/2020 20:01:48,0,GJ,480,319,30,
Rajasthan,10599,7754,239,2606,07/06/2020 22:39:47,0,RJ,262,253,8,
Uttar Pradesh,10536,6185,275,4076,07/06/2020 20:01:50,0,UP,433,277,7,
Madhya Pradesh,9401,6331,412,2658,07/06/2020 22:15:50,0,MP,173,223,13,
State Unassigned,8610,0,0,8610,07/06/2020 09:44:48,0,UN,418,0,0,"MoHFW website reports that these are the """"cases that are being reassigned to states"""""
West Bengal,8187,3303,396,4488,07/06/2020 19:11:47,0,WB,449,184,13,Deaths due to comorbidities added to total deceased
Karnataka,5452,2132,61,3257,07/06/2020 18:00:48,2,KA,239,159,2,Two active cases in KA reduced as these confirmed patients died of non-CoViD19 related reasons
Bihar,5070,2405,30,2635,07/06/2020 20:55:48,0,BR,239,107,1,
Andhra Pradesh,4659,2669,75,1915,07/06/2020 15:00:48,0,AP,199,29,2,"Total includes patients from other states and a new category """"Foreign Evacuees"""" which is now reported in AP bulletin."
Haryana,4448,1474,28,2946,07/06/2020 22:01:49,0,HR,496,194,4,
Telangana,3650,1742,137,1771,07/06/2020 22:54:47,0,TG,154,32,14,
Jammu and Kashmir,4087,1216,41,2830,07/06/2020 21:34:47,0,JK,620,90,2,
Odisha,2856,1894,11,951,07/06/2020 15:38:49,0,OR,75,178,1,Two non-covid deaths reported in state dashboard are included in the deceased count
Punjab,2608,2106,51,451,07/06/2020 19:53:52,0,PB,93,14,1,
Assam,2566,637,4,1922,07/06/2020 22:39:50,3,AS,92,48,0,"Includes one case from Nagaland
Total of three* patients who migrated to other states has been reduced from Active count"
Kerala,1915,803,16,1096,07/06/2020 18:13:48,0,KL,107,41,0,Mahe native who expired in Kannur included in Kerala's tally
Uttarakhand,1355,498,13,839,07/06/2020 21:24:49,5,UT,52,76,2,Four migrated cases reduced from Active count
Jharkhand,1103,490,7,606,07/06/2020 23:02:48,0,JH,75,17,0,
Chhattisgarh,923,259,4,660,06/06/2020 20:53:49,0,CT,0,0,0,
Tripura,802,192,0,610,07/06/2020 22:39:51,0,TR,53,19,0,
Himachal Pradesh,411,219,6,183,07/06/2020 23:02:49,3,HP,11,29,0,"HP has 4 Migrated cases which are reduced from Active #. Also, death of Tibetan refugee is included in deceased numbers, but not in confirmed"
Chandigarh,315,273,5,37,07/06/2020 12:37:51,0,CH,3,0,0,
Goa,300,65,0,235,07/06/2020 19:24:49,0,GA,33,0,0,
Manipur,172,52,0,120,07/06/2020 13:33:48,0,MN,15,0,0,
Puducherry,119,49,0,70,07/06/2020 17:33:49,0,PY,12,1,0,
Nagaland,120,8,0,112,07/06/2020 21:44:50,0,NL,13,0,0,
Ladakh,99,50,1,48,06/06/2020 20:33:51,0,LA,0,0,0,
Arunachal Pradesh,48,1,0,47,06/06/2020 23:13:51,0,AR,0,0,0,
Mizoram,34,1,0,33,07/06/2020 11:42:49,0,MZ,10,0,0,
Andaman and Nicobar Islands,33,33,0,0,07/05/2020 22:24:57,0,AN,0,0,0,
Meghalaya,36,13,1,22,07/06/2020 19:37:50,0,ML,3,0,0,
Dadra and Nagar Haveli and Daman and Diu,20,2,0,18,06/06/2020 21:42:54,0,DN,1,1,0,
Sikkim,7,0,0,7,06/06/2020 23:03:57,0,SK,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,0,LD,0,0,0,
