SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,7832,7832,0,0,0,582,582,0,0,NA,NA
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,NA,NA
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,NA,NA
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,32,0,32,0,0,0,0,0,0,NA,NA
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,131,127,4,0,0,8,8,0,0,NA,NA
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,274,104,166,4,0,19,18,1,0,NA,NA
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,298,84,210,4,0,13,12,1,0,NA,NA
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,272,185,85,2,0,19,19,0,0,NA,NA
7,AP,Andhra Pradesh,AP_Guntur,Guntur,556,157,390,9,0,16,16,0,0,NA,NA
8,AP,Andhra Pradesh,AP_Krishna,Krishna,526,167,337,22,0,21,21,0,0,NA,NA
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,762,144,591,27,0,17,13,4,0,NA,NA
0,AP,Andhra Pradesh,AP_Other State,Other State,741,467,274,0,0,41,25,16,0,NA,NA
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,85,18,67,0,0,0,0,0,0,NA,NA
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,304,112,188,4,0,16,14,2,0,NA,NA
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,31,20,11,0,0,2,2,0,0,NA,NA
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,111,35,75,1,0,0,-2,2,0,NA,NA
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,37,24,13,0,0,5,5,0,0,NA,NA
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,182,125,57,0,0,33,33,0,0,NA,NA
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,150,6,144,0,0,0,-30,30,0,NA,NA
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,0,0,0,0,0,0,0,0,0,NA,NA
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,31,31,0,0,0,0,0,0,0,NA,NA
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,0,NA,NA
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,0,0,0,0,0,0,0,0,0,NA,NA
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,0,NA,NA
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,0,NA,NA
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,0,NA,NA
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,0,0,0,0,0,0,0,0,0,NA,NA
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,2,1,1,0,0,0,0,0,0,NA,NA
26,AR,Arunachal Pradesh,AR_Longding,Longding,0,0,0,0,0,0,0,0,0,NA,NA
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,0,0,0,0,0,0,0,0,0,NA,NA
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,0,0,0,0,0,0,0,0,0,NA,NA
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,0,0,0,0,0,0,0,0,0,NA,NA
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,2,2,0,0,0,0,0,0,0,NA,NA
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,1,1,0,0,0,0,0,0,0,NA,NA
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,7,7,0,0,0,0,0,0,0,NA,NA
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,0,0,0,0,0,0,0,0,0,NA,NA
34,AR,Arunachal Pradesh,AR_Siang,Siang,0,0,0,0,0,0,0,0,0,NA,NA
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,1,1,0,0,0,0,0,0,0,NA,NA
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,0,0,0,0,0,0,0,0,0,NA,NA
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,0,0,0,0,0,0,0,0,0,NA,NA
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,1,1,0,0,0,0,0,0,0,NA,NA
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,0,0,0,0,0,0,0,0,0,NA,NA
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,0,0,0,0,0,0,0,0,0,NA,NA
